p1,p2,p3,p4,info
"[128, 18]","[148, 17]","[149, 47]","[129, 48]",r
"[150, 17]","[170, 16]","[171, 46]","[151, 47]",H
"[172, 16]","[192, 15]","[193, 45]","[173, 46]",1
"[526, 127]","[549, 127]","[548, 162]","[525, 162]",l
"[551, 127]","[574, 128]","[573, 163]","[550, 162]",G
"[576, 128]","[599, 128]","[598, 163]","[575, 163]",i
"[601, 128]","[624, 129]","[623, 164]","[600, 163]",e
"[626, 129]","[649, 129]","[648, 164]","[625, 164]",F
"[651, 129]","[674, 130]","[673, 164]","[650, 164]",P
"[676, 130]","[699, 130]","[698, 165]","[675, 165]",Q
"[701, 130]","[724, 130]","[723, 165]","[700, 165]",J
"[726, 130]","[749, 131]","[748, 166]","[725, 165]",r
"[751, 131]","[774, 131]","[773, 166]","[750, 166]",P
"[776, 131]","[799, 132]","[798, 167]","[775, 166]",b
"[801, 132]","[824, 132]","[823, 167]","[800, 167]",e
"[933, 779]","[950, 779]","[951, 804]","[934, 804]",t
"[952, 779]","[969, 779]","[970, 803]","[953, 804]",I
"[971, 778]","[988, 778]","[989, 803]","[972, 803]",b
"[990, 778]","[1007, 778]","[1008, 803]","[991, 803]",C
