p1,p2,p3,p4,info
"[127, 34]","[147, 31]","[150, 60]","[131, 63]",r
"[149, 31]","[169, 29]","[172, 58]","[152, 60]",H
"[171, 28]","[190, 26]","[194, 55]","[174, 58]",1
"[62, 104]","[79, 106]","[77, 130]","[60, 129]",6
"[81, 106]","[98, 107]","[96, 132]","[79, 131]",U
"[100, 108]","[117, 109]","[114, 134]","[98, 132]",Q
"[119, 109]","[136, 111]","[133, 135]","[116, 134]",b
"[138, 111]","[154, 112]","[152, 137]","[135, 136]",A
"[156, 112]","[173, 114]","[171, 139]","[154, 137]",f
"[175, 114]","[192, 116]","[190, 140]","[173, 139]",r
"[194, 116]","[211, 117]","[209, 142]","[192, 140]",e
"[61, 183]","[79, 182]","[81, 208]","[63, 209]",a
"[81, 182]","[99, 180]","[101, 206]","[83, 207]",g
"[101, 180]","[119, 179]","[120, 205]","[103, 206]",z
"[121, 179]","[139, 178]","[140, 203]","[122, 205]",a
"[141, 177]","[159, 176]","[160, 202]","[142, 203]",8
"[161, 176]","[178, 175]","[180, 201]","[162, 202]",c
"[180, 175]","[198, 173]","[200, 199]","[182, 200]",n
"[200, 173]","[218, 172]","[220, 198]","[202, 199]",q
"[626, 129]","[649, 129]","[648, 164]","[625, 164]",t
"[651, 129]","[674, 130]","[673, 164]","[650, 164]",I
"[676, 130]","[699, 130]","[698, 165]","[675, 165]",b
"[701, 130]","[724, 130]","[723, 165]","[700, 165]",C
"[917, 787]","[936, 786]","[937, 815]","[918, 816]",P
"[938, 786]","[957, 785]","[958, 814]","[939, 815]",n
"[959, 785]","[978, 784]","[979, 813]","[960, 814]",6
"[980, 784]","[999, 783]","[1000, 812]","[981, 813]",j
"[1001, 783]","[1020, 782]","[1021, 811]","[1002, 812]",e
"[1022, 782]","[1041, 781]","[1042, 810]","[1023, 811]",l
"[1043, 781]","[1062, 780]","[1063, 809]","[1044, 810]",9
