p1,p2,p3,p4,info
"[36, 56]","[58, 53]","[63, 87]","[40, 90]",n
"[60, 53]","[83, 50]","[88, 84]","[65, 87]",u
"[85, 49]","[108, 46]","[113, 80]","[90, 83]",k
"[110, 46]","[133, 43]","[138, 77]","[115, 80]",r
"[135, 43]","[157, 39]","[162, 73]","[139, 77]",d
"[159, 39]","[182, 36]","[187, 70]","[164, 73]",w
"[184, 36]","[207, 33]","[212, 67]","[189, 70]",v
"[209, 32]","[232, 29]","[237, 63]","[214, 66]",B
"[234, 29]","[256, 26]","[261, 60]","[239, 63]",u
"[258, 25]","[281, 22]","[286, 56]","[263, 59]",u
"[283, 22]","[306, 19]","[311, 53]","[288, 56]",e
"[308, 18]","[331, 15]","[336, 49]","[313, 52]",w
"[644, 141]","[667, 143]","[664, 179]","[640, 176]",r
"[669, 144]","[693, 146]","[690, 182]","[666, 179]",H
"[695, 146]","[719, 149]","[715, 184]","[692, 182]",1
"[937, 781]","[955, 782]","[954, 807]","[936, 806]",t
"[957, 782]","[975, 783]","[974, 808]","[956, 808]",I
"[977, 783]","[995, 784]","[994, 809]","[976, 809]",b
"[997, 784]","[1015, 785]","[1014, 811]","[996, 810]",C
