p1,p2,p3,p4,info
"[616, 135]","[637, 136]","[634, 168]","[613, 166]",W
"[639, 136]","[660, 138]","[657, 169]","[636, 168]",o
"[662, 138]","[683, 139]","[680, 171]","[659, 170]",0
"[685, 139]","[706, 141]","[703, 173]","[682, 171]",l
"[856, 785]","[874, 784]","[875, 810]","[857, 811]",n
"[876, 784]","[894, 783]","[895, 809]","[877, 810]",u
"[896, 783]","[914, 783]","[915, 809]","[897, 809]",k
"[916, 783]","[934, 782]","[935, 808]","[917, 808]",r
"[936, 782]","[954, 781]","[955, 807]","[937, 808]",d
"[956, 781]","[974, 781]","[975, 806]","[957, 807]",w
"[976, 780]","[994, 780]","[995, 806]","[977, 806]",v
"[996, 780]","[1014, 779]","[1015, 805]","[997, 806]",B
"[1016, 779]","[1034, 778]","[1035, 804]","[1017, 805]",u
"[1036, 778]","[1054, 778]","[1055, 804]","[1037, 804]",u
"[1056, 778]","[1074, 777]","[1075, 803]","[1057, 804]",e
"[1076, 777]","[1094, 776]","[1095, 802]","[1077, 803]",w
