p1,p2,p3,p4,info
"[137, 18]","[160, 19]","[159, 54]","[136, 53]",W
"[162, 19]","[185, 21]","[184, 55]","[161, 54]",o
"[187, 21]","[210, 22]","[209, 57]","[186, 56]",0
"[212, 22]","[235, 23]","[233, 58]","[211, 57]",l
"[60, 107]","[77, 106]","[79, 130]","[62, 132]",r
"[79, 105]","[95, 104]","[98, 128]","[81, 130]",r
"[97, 103]","[114, 102]","[117, 126]","[100, 128]",M
"[116, 101]","[133, 100]","[136, 124]","[119, 126]",S
"[135, 99]","[152, 98]","[155, 122]","[138, 124]",r
"[154, 98]","[171, 96]","[174, 120]","[157, 122]",r
"[173, 96]","[190, 94]","[193, 118]","[176, 120]",8
"[192, 94]","[209, 92]","[211, 116]","[195, 118]",m
"[51, 181]","[70, 179]","[72, 208]","[53, 209]",E
"[72, 179]","[91, 177]","[93, 206]","[74, 207]",x
"[93, 177]","[111, 175]","[114, 204]","[95, 206]",d
"[113, 175]","[132, 173]","[135, 202]","[116, 204]",S
"[134, 173]","[153, 172]","[156, 200]","[137, 202]",m
"[155, 171]","[174, 170]","[177, 199]","[158, 200]",q
"[176, 170]","[195, 168]","[198, 197]","[179, 198]",3
"[197, 168]","[216, 166]","[219, 195]","[200, 197]",8
"[218, 166]","[237, 164]","[239, 193]","[221, 195]",l
"[239, 164]","[258, 163]","[260, 191]","[241, 193]",i
"[534, 128]","[564, 129]","[563, 175]","[533, 174]",q
"[567, 129]","[597, 130]","[596, 176]","[566, 175]",H
"[600, 130]","[630, 131]","[629, 177]","[599, 176]",M
"[633, 131]","[663, 132]","[662, 178]","[632, 177]",S
"[666, 132]","[696, 133]","[695, 179]","[665, 178]",5
"[699, 133]","[729, 135]","[728, 180]","[698, 179]",l
"[732, 135]","[762, 136]","[761, 182]","[731, 181]",I
"[765, 136]","[795, 137]","[794, 183]","[764, 182]",j
"[798, 137]","[828, 138]","[827, 184]","[797, 183]",W
"[831, 138]","[861, 139]","[860, 185]","[830, 184]",0
"[864, 139]","[894, 140]","[893, 186]","[863, 185]",i
"[897, 140]","[927, 141]","[926, 187]","[896, 186]",D
"[940, 781]","[956, 782]","[955, 806]","[939, 805]",r
"[958, 782]","[974, 783]","[973, 807]","[957, 806]",H
"[976, 783]","[992, 784]","[991, 808]","[975, 807]",1
