p1,p2,p3,p4,info
"[565, 166]","[594, 163]","[599, 207]","[570, 210]",R
"[597, 163]","[626, 160]","[630, 204]","[602, 207]",S
"[629, 159]","[658, 156]","[662, 201]","[633, 204]",G
"[661, 156]","[689, 153]","[694, 197]","[665, 200]",d
"[692, 153]","[721, 150]","[726, 194]","[697, 197]",M
"[724, 149]","[753, 146]","[758, 191]","[729, 194]",1
"[756, 146]","[785, 143]","[790, 187]","[761, 190]",3
"[788, 143]","[817, 140]","[821, 184]","[793, 187]",y
"[820, 139]","[849, 136]","[853, 181]","[824, 184]",5
"[851, 136]","[880, 133]","[885, 177]","[856, 180]",7
"[890, 782]","[910, 785]","[906, 815]","[885, 812]",R
"[912, 786]","[933, 788]","[929, 819]","[908, 816]",S
"[935, 789]","[956, 792]","[952, 822]","[931, 819]",G
"[958, 792]","[979, 795]","[975, 825]","[954, 822]",d
"[981, 795]","[1002, 798]","[997, 828]","[976, 825]",M
"[1004, 798]","[1024, 801]","[1020, 831]","[999, 828]",1
"[1026, 801]","[1047, 804]","[1043, 834]","[1022, 831]",3
"[1049, 805]","[1070, 807]","[1066, 838]","[1045, 835]",y
"[1072, 808]","[1093, 811]","[1088, 841]","[1068, 838]",5
"[1095, 811]","[1115, 814]","[1111, 844]","[1090, 841]",7
